,Laser_Power,Power_Efficiency,Laser_Centering_Position,Frequency,Feed_Speed,Focus,Head_Temp,Vibration,Laser_Current,Laser_Voltage,Beam_Diameter,Alignment_Time,Process_Time,Cutting_X_Index,Cutting_Y_Index,Cooling_Flow,Cooling_Water_Temp,CLN_Flow,CLN_Pressure,Coating_Flow,CLN_Time,Laser_Head_Remain_Time,Kerf_Width_Profile,Top_Kerf,Bottom_Kerf,Kerf_Angle,Groove_Depth,Package_Size_1,Package_Size_2,Package_Size_3,Package_Size_4,Coating_Thickness,Coating_Uniformity,Cutting_Offset,Surface_Roughness,Chipping,Chipping_Die,Remain_Coat,Remain_Coat_Die,Particle,Particle_Die,Micro_Crack,Micro_Crack_Die,Laser_Paim,Laser_Paim_Die,Fail_Die,Yield,PLC_CPU_Load,PLC_Memory,Network_Latency,LED_Brightness,Room_Noise,Door_Open_Count,Fan_RPM,Vision_Exposure,Maintenance_Count,Factory_Power
Micro_Crack_Die,-0.0059,-0.0028,0.0022,0.0275,0.0024,-0.0018,-0.0023,0.0056,0.0022,-0.001,0.0016,0.0048,-0.0039,-0.0004,-0.0025,0.0018,-0.0034,-0.0009,-0.0023,-0.0031,-0.0076,0.0024,0.0115,0.0145,0.0121,-0.0003,0.0024,0.0025,0.0026,0.0083,0.0039,0.0004,0.0005,0.0022,0.0155,0.078,0.078,0.0001,0.0001,0.0033,0.0034,1.0,1.0,,,0.0624,-0.0624,-0.0072,0.0014,-0.0012,-0.0001,0.0016,-0.0002,0.0046,-0.0057,-0.0017,0.0036
Laser_Paim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laser_Paim_Die,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail_Die,0.0001,-0.0064,0.0009,0.0183,0.0051,0.0022,0.0032,0.0798,-0.0027,-0.0026,0.0025,0.0088,0.002,-0.0007,-0.0026,-0.0064,-0.0036,-0.0216,-0.073,0.0018,-0.0017,-0.0049,0.0109,0.0134,0.014,-0.0024,-0.0018,-0.0029,0.0029,-0.0007,0.0049,-0.0392,-0.0022,0.0016,0.256,0.0213,0.0213,0.5136,0.5137,0.9095,0.912,0.0624,0.0624,,,1.0,-1.0,-0.0027,-0.0029,-0.0011,0.0012,-0.0016,0.0003,0.0023,-0.0013,-0.0078,-0.0018
Yield,-0.0001,0.0064,-0.0009,-0.0183,-0.0051,-0.0022,-0.0032,-0.0798,0.0027,0.0026,-0.0025,-0.0088,-0.002,0.0007,0.0026,0.0064,0.0036,0.0216,0.073,-0.0018,0.0017,0.0049,-0.0109,-0.0134,-0.014,0.0024,0.0018,0.0029,-0.0029,0.0007,-0.0049,0.0392,0.0022,-0.0016,-0.256,-0.0213,-0.0213,-0.5136,-0.5137,-0.9095,-0.912,-0.0624,-0.0624,,,-1.0,1.0,0.0027,0.0029,0.0011,-0.0012,0.0016,-0.0003,-0.0023,0.0013,0.0078,0.0018
PLC_CPU_Load,-0.0053,-0.0061,0.0004,-0.0002,-0.0007,0.0037,0.001,-0.0023,0.0025,-0.0004,-0.002,0.0024,0.0016,-0.006,0.0014,-0.0005,0.0,-0.002,0.0016,-0.0031,0.0037,-0.0003,0.002,0.0027,0.0058,0.0025,-0.0007,-0.0039,0.0047,0.0044,-0.0043,0.0005,0.0021,0.0016,-0.0004,-0.0001,-0.0001,-0.0044,-0.0044,0.0001,0.0001,-0.0072,-0.0072,,,-0.0027,0.0027,1.0,0.0032,0.007,-0.0006,0.005,-0.0044,-0.0062,-0.0016,0.0021,0.0017
PLC_Memory,0.0027,0.0058,-0.002,-0.0013,0.0021,-0.0018,0.0067,0.001,-0.0017,0.0041,-0.0027,-0.0003,0.0035,0.0057,-0.0012,-0.0021,-0.0044,-0.0009,-0.0026,-0.0017,0.0019,0.0025,-0.0021,0.0002,-0.0061,-0.0008,0.0018,0.0001,-0.0006,-0.0025,0.0013,0.0002,-0.0057,-0.0033,0.0039,0.0012,0.0012,-0.0077,-0.0077,-0.0004,-0.0006,0.0014,0.0014,,,-0.0029,0.0029,0.0032,1.0,0.0046,-0.0002,0.0056,0.0082,-0.0001,0.0047,-0.0055,0.0012
Network_Latency,-0.0002,-0.0006,0.0083,-0.0014,0.0003,-0.0028,-0.0027,-0.0011,-0.0035,-0.0045,-0.0028,0.0015,-0.0039,0.0036,-0.0063,-0.0016,0.0006,-0.004,-0.0007,-0.0006,-0.0005,-0.0004,0.0024,-0.003,0.0038,-0.0036,0.0047,-0.0022,-0.0002,0.0054,0.0078,-0.0023,0.0048,0.0099,-0.0003,0.001,0.001,0.0013,0.0013,0.001,0.0012,-0.0012,-0.0012,,,-0.0011,0.0011,0.007,0.0046,1.0,-0.0053,0.0047,-0.0025,-0.0018,-0.0,0.0022,-0.0039
LED_Brightness,0.0023,-0.0007,0.0002,0.007,0.003,0.0021,0.0017,-0.0032,0.0043,0.0008,-0.0027,-0.0026,-0.0036,-0.0037,-0.0047,-0.0052,0.0063,-0.003,-0.0016,0.0021,-0.0056,0.0006,-0.0009,0.0014,-0.0012,0.0018,0.0012,0.0022,-0.0032,-0.0017,-0.0013,-0.0001,0.0044,-0.0025,0.0025,-0.0031,-0.0031,-0.0037,-0.0037,0.0026,0.0024,-0.0001,-0.0001,,,0.0012,-0.0012,-0.0006,-0.0002,-0.0053,1.0,-0.0015,0.0004,0.0001,-0.0048,-0.0061,0.0009
Room_Noise,0.0029,0.001,-0.0003,-0.0026,0.0056,-0.0046,0.0034,0.0032,-0.0042,0.002,0.0061,0.0045,-0.0061,0.0049,-0.0005,0.0012,-0.0016,0.0002,0.0016,-0.0008,-0.0003,-0.0017,-0.0032,-0.0023,-0.0017,0.0014,-0.0017,0.0023,0.0037,0.0009,-0.0052,-0.0067,0.0008,-0.0018,0.0032,-0.005,-0.005,-0.0,0.0,-0.0012,-0.0011,0.0016,0.0016,,,-0.0016,0.0016,0.005,0.0056,0.0047,-0.0015,1.0,-0.0015,0.002,0.0053,-0.0011,0.0
Door_Open_Count,0.0024,-0.0064,-0.0028,-0.0019,0.0029,0.0016,0.0029,0.0016,0.0001,0.0008,0.0039,0.0006,-0.0035,-0.0008,-0.0087,0.0011,0.0058,0.003,-0.0024,-0.0051,-0.0023,-0.0046,0.0034,0.0027,-0.0002,-0.0024,0.0015,0.0041,0.0041,0.0009,-0.0022,0.0019,-0.0003,-0.0022,-0.0021,-0.0044,-0.0044,0.0036,0.0035,-0.0012,-0.0014,-0.0002,-0.0002,,,0.0003,-0.0003,-0.0044,0.0082,-0.0025,0.0004,-0.0015,1.0,0.0024,0.0042,0.0022,-0.0026
Fan_RPM,0.003,-0.0008,-0.003,-0.0029,0.0021,-0.0038,-0.0033,-0.0006,-0.0007,0.0002,0.0035,0.0028,0.0051,0.0009,0.0001,-0.0006,0.0027,0.0038,-0.0038,0.0032,0.0101,-0.0009,-0.0031,-0.0017,-0.0052,-0.0003,-0.0044,0.0004,0.0004,-0.0004,0.0037,-0.0027,0.0035,-0.0038,0.0018,0.0014,0.0014,0.0049,0.0049,0.0011,0.0011,0.0046,0.0046,,,0.0023,-0.0023,-0.0062,-0.0001,-0.0018,0.0001,0.002,0.0024,1.0,-0.0035,-0.0023,-0.0053
Vision_Exposure,0.0012,-0.0078,0.0035,0.0048,-0.0026,0.0044,-0.0002,-0.0009,0.0052,-0.0032,-0.0011,-0.0032,-0.0054,-0.0001,-0.0007,-0.0039,-0.0024,0.0059,-0.0009,0.0005,0.0007,-0.0009,0.0007,-0.0024,0.0033,-0.0016,-0.0026,-0.0012,-0.0022,0.001,-0.0005,0.0017,-0.0016,0.0048,-0.0035,-0.006,-0.006,-0.0022,-0.0023,-0.0008,-0.0013,-0.0057,-0.0057,,,-0.0013,0.0013,-0.0016,0.0047,-0.0,-0.0048,0.0053,0.0042,-0.0035,1.0,0.0048,0.0009
Maintenance_Count,0.0005,0.0007,0.0011,0.001,0.0019,-0.0045,-0.0024,-0.0019,0.0028,-0.0061,-0.0012,-0.0011,0.0009,-0.0041,-0.0005,-0.0004,0.005,0.0002,-0.0006,-0.0033,-0.0021,-0.0046,-0.0009,-0.0016,-0.0004,-0.0061,0.0022,0.0025,0.0049,0.0078,0.0005,0.0084,-0.0025,0.0001,-0.0021,0.0016,0.0016,-0.0028,-0.0029,-0.0062,-0.0064,-0.0017,-0.0017,,,-0.0078,0.0078,0.0021,-0.0055,0.0022,-0.0061,-0.0011,0.0022,-0.0023,0.0048,1.0,0.0014
Factory_Power,-0.0047,0.0027,-0.0015,-0.003,-0.0009,0.0015,-0.0016,0.0009,0.0004,0.0023,-0.0073,0.0002,-0.0044,-0.0012,-0.0004,0.0066,-0.0023,-0.0028,0.0034,0.0018,0.0034,0.0034,0.001,0.0011,0.004,-0.0001,-0.0046,0.0024,-0.0028,-0.0002,-0.0021,-0.0026,0.0003,-0.0017,-0.0018,0.0053,0.0053,-0.0006,-0.0005,-0.0022,-0.0023,0.0036,0.0036,,,-0.0018,0.0018,0.0017,0.0012,-0.0039,0.0009,0.0,-0.0026,-0.0053,0.0009,0.0014,1.0
